num,district_J,district_E,candidate_J,candidate_yomi,candidate_E,outcome
0,北海道,Hokkaido,森山佳則,もりやま よしのり,Moriyama Yoshinori,0.0
1,北海道,Hokkaido,高橋はるみ,たかはし はるみ,Takahashi Harumi,1.0
2,北海道,Hokkaido,畠山和也,はたやま かずや,Hatayama Kazuya,0.0
3,北海道,Hokkaido,岩瀬清次,いわせ せいじ,Iwase Seiji,0.0
4,北海道,Hokkaido,岩本剛人,いわもと つよひと,Iwamoto Tsuyohito,1.0
5,北海道,Hokkaido,勝部賢志,かつべ けんじ,Katsube Kenji,1.0
6,北海道,Hokkaido,中村治,なかむら おさむ,Nakamura Osamu,0.0
7,北海道,Hokkaido,原谷那美,はらや なみ,Haraya Nami,0.0
8,北海道,Hokkaido,山本貴平,やまもと たかひら,Yamamoto Takahira,0.0
9,青森,Aomori,小山日奈子,こやま ひなこ,Koyama Hinako,0.0
10,青森,Aomori,滝沢求,たきさわ もとめ,Takisawa Motome,1.0
11,青森,Aomori,小田切達,おだぎり さとる,Odagiri Satoru,0.0
12,岩手,Iwate,横沢高徳,よこさわ たかのり,Yokosawa Takanori,0.0
13,岩手,Iwate,平野達男,ひらの たつお,Hirano Tatsuo,1.0
14,岩手,Iwate,梶谷秀一,かじたに しゅういち,Kajitani Shuuichi,0.0
15,宮城,Miyagi,三宅紀昭,みやけ のりあき,Miyake Noriaki,0.0
16,宮城,Miyagi,愛知治郎,あいち じろう,Aichi Jirou,1.0
17,宮城,Miyagi,石垣のりこ,いしがき のりこ,Ishigaki Noriko,0.0
18,秋田,Akita,中泉松司,なかいずみ まつじ,Nakaizumi Matsuji,1.0
19,秋田,Akita,寺田静,てらた しずか,Terata Shizuka,0.0
20,秋田,Akita,石岡隆治,いしおか りゅうじ,Ishioka Ryuuji,0.0
21,山形,Yamagata,大沼瑞穂,おおぬま みずほ,Oonuma Mizuho,1.0
22,山形,Yamagata,芳賀道也,はが みちや,Haga Michiya,0.0
23,山形,Yamagata,小野沢健至,おのざわ たけし,Onozawa Takeshi,0.0
24,福島,Fukushima,森雅子,もり まさこ,Mori Masako,1.0
25,福島,Fukushima,水野さちこ,みずの さちこ,Mizuno Sachiko,0.0
26,福島,Fukushima,田山雅仁,たやま まさひと,Tayama Masahito,0.0
27,茨城,Ibaraki,田中健,たなか けん,Tanaka Ken,0.0
28,茨城,Ibaraki,海野徹,うみの とおる,Umino Tooru,0.0
29,茨城,Ibaraki,小沼巧,おぬま たくみ,Onuma Takumi,1.0
