名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
忠一,伊達,2013,74,1,2,公明,自民,現,内閣府副大臣〈元〉臨床検査会社会長・参院経産委員長・道議▽芦別高,北海道,選挙区,903693,37.7,831.0,42.5,2,5.3,40.38461538461539
勝也,小川,2013,50,1,3,0,民主,現,党道副代表〈元〉防衛副大臣・首相補佐官▽日大,北海道,選挙区,583995,24.36,831.0,8.0,2,0.0,30.76923076923077
貴博,浅野,2013,35,0,0,0,大地,新,党幹事長代行〈元〉衆院議員・衆院議員秘書▽神戸大院,北海道,選挙区,352434,14.7,831.0,0.0,2,0.0,0.0
英士,森,2013,35,0,0,0,共産,新,〈元〉赤旗記者・学童保育所指導員▽北海道東海大,北海道,選挙区,272102,11.35,831.0,3.7,2,0.0,0.0
太伸,安住,2013,43,0,0,0,みんな,新,党道支部長〈元〉旭川市議・自民党支部幹事長代行▽北大院,北海道,選挙区,261802,10.92,831.0,3.1,2,0.0,0.0
佳則,森山,2013,46,0,0,0,諸派,新,幸福実現党員〈元〉新日鉄社員▽中大,北海道,選挙区,23194,0.97,831.0,0.0,2,0.0,0.0
求,滝沢,2013,54,1,0,公明,自民,新,不動産管理会社代表取締役〈元〉県議・衆院議員秘書▽中大,青森,選挙区,261575,51.33,577.3,42.5,1,5.3,108.33333333333333
幸司,平山,2013,43,0,0,社民 / みど,生活,現,オーストラリア旅行会社顧問・党参院幹事長代理〈元〉建設省職員▽慶大,青森,選挙区,76432,15.0,577.3,0.5,1,0.0,0.0
里奈,波多野,2013,40,0,0,0,みんな,新,司会業会社長〈元〉民放アナウンサー▽明大,青森,選挙区,63528,12.47,577.3,3.1,1,0.0,0.0
信,工藤,2013,59,0,0,民主,無所,新,〈元〉県農協中央会長・つがる弘前農協組合長▽東奥義塾高,青森,選挙区,53062,10.41,577.3,0.0,1,8.0,27.083333333333332
洋,吉俣,2013,39,0,0,0,共産,新,党県書記長・党准中央委員▽八戸工大,青森,選挙区,48290,9.48,577.3,3.7,1,0.0,8.333333333333332
昭弘,石田,2013,54,0,0,0,諸派,新,幸福の科学支部長▽東京写真専門学校,青森,選挙区,6659,1.31,577.3,0.0,1,0.0,0.0
達男,平野,2013,59,1,2,0,無所,現,〈元〉復興相・民主党政調副会長・農水省職員・県農地計画課長▽東大,岩手,選挙区,243368,39.71,463.8,0.0,1,0.0,6.25
真一,田中,2013,46,0,0,公明,自民,新,〈元〉慶大ラグビー部監督・参院議員秘書・神戸製鋼所社員▽慶大,岩手,選挙区,161499,26.35,463.8,42.5,1,5.3,52.083333333333336
敏伸,関根,2013,57,0,0,みど,生活,新,医薬品配置販売会社長〈元〉県議・日商青年部副会長▽北大,岩手,選挙区,91048,14.86,463.8,0.5,1,0.0,0.0
晴美,吉田,2013,41,0,0,0,民主,新,〈元〉参院議員秘書・証券会社員・航空会社員▽英バーミンガム大院,岩手,選挙区,62047,10.12,463.8,8.0,1,0.0,97.91666666666666
幸夫,菊池,2013,54,0,0,0,共産,新,党県常任委員〈元〉党地区副委員長・民青県副委員長▽東北大中退,岩手,選挙区,46529,7.59,463.8,3.7,1,0.0,8.333333333333332
敬子,高橋,2013,51,0,0,0,諸派,新,幸福実現党員〈元〉宮古農業改良普及所農業改良普及員▽岩手大,岩手,選挙区,8322,1.36,463.8,0.0,1,0.0,0.0
治郎,愛知,2013,44,1,2,公明,自民,現,〈元〉参院東日本大震災復興特別委理事・防衛政務官・衆院議員秘書▽中大,宮城,選挙区,421634,44.71,304.9,42.5,2,5.3,79.66101694915254
政宗,和田,2013,38,1,0,0,みんな,新,〈元〉ＮＨＫアナウンサー▽慶大,宮城,選挙区,220207,23.35,304.9,3.1,2,0.0,5.084745762711865
トミ子,岡崎,2013,69,0,2,0,民主,現,党副代表〈元〉内閣府特命担当相・東北放送アナウンサー▽福島女高,宮城,選挙区,215105,22.81,304.9,8.0,2,0.0,18.64406779661017
彩子,岩渕,2013,30,0,0,0,共産,新,党准県委員〈元〉ソフトウエア開発会社員・病院職員▽東京医薬専門学校,宮城,選挙区,76515,8.11,304.9,3.7,2,0.0,10.16949152542373
智子,皀,2013,41,0,0,0,諸派,新,幸福実現党員〈元〉石油会社員▽仙台経理専門学校,宮城,選挙区,9662,1.02,304.9,0.0,2,0.0,0.0
松司,中泉,2013,34,1,0,公明,自民,新,農業・党県青年局長〈元〉県議・ビル清掃会社員・参院議員秘書▽中大,秋田,選挙区,260846,52.33,448.7,42.5,1,5.3,122.22222222222223
大悟,松浦,2013,43,0,0,0,民主,現,参院予算委員会理事・党県代表〈元〉秋田放送アナウンサー▽神戸学院大,秋田,選挙区,194497,39.02,448.7,8.0,1,0.0,13.333333333333334
良夫,佐竹,2013,62,0,0,0,共産,新,党県委員〈元〉医労連中央執行副委員長▽秋田大院,秋田,選挙区,36371,7.3,448.7,3.7,1,0.0,4.444444444444445
晃,西野,2013,36,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学支部長▽国学院大,秋田,選挙区,6736,1.35,448.7,0.0,1,0.0,0.0
瑞穂,大沼,2013,34,1,0,公明,自民,新,〈元〉東京財団研究員・外務省専門調査員・ＮＨＫ記者▽慶大院,山形,選挙区,272779,48.22,289.4,42.5,1,5.3,159.0909090909091
康江,舟山,2013,47,0,0,社民,みどり,現,党政調会長〈元〉農水政務官・燃料小売会社役員・農水省職員▽北大,山形,選挙区,252040,44.55,289.4,0.1,1,0.9,0.0
俊男,太田,2013,59,0,0,0,共産,新,党県副委員長〈元〉党県常任委員▽岩手大,山形,選挙区,33718,5.96,289.4,3.7,1,0.0,4.545454545454546
良太,城取,2013,36,0,0,0,諸派,新,幸福の科学職員〈元〉ＨＳ政経塾生・人材派遣会社員▽成蹊大,山形,選挙区,7193,1.27,289.4,0.0,1,0.0,0.0
雅子,森,2013,48,1,1,公明,自民,現,少子化担当相・消費者相・弁護士〈元〉金融庁職員▽東北大,福島,選挙区,484089,56.59,238.9,42.5,1,5.3,82.75862068965517
恵美,金子,2013,48,0,0,0,民主,現,〈元〉復興政務官・内閣府政務官・伊達市議▽米カリフォルニア州立大院,福島,選挙区,240842,28.15,238.9,8.0,1,0.0,43.103448275862064
友,岩渕,2013,36,0,0,0,共産,新,党県常任委員・党県被災者救援対策本部長〈元〉県臨時職員▽福島大,福島,選挙区,77401,9.05,238.9,3.7,1,0.0,13.793103448275861
陽子,遠藤,2013,63,0,0,生活,社民,新,市民団体代表・党県常任幹事〈元〉中学教諭・県教組書記次長▽東京音大,福島,選挙区,35801,4.19,238.9,0.9,1,0.5,1.7241379310344827
秀光,酒井,2013,45,0,0,0,諸派,新,幸福実現党員〈元〉商業ビル会社員・進学塾講師・保険会社員▽福島大,福島,選挙区,9860,1.15,238.9,0.0,1,0.0,0.0
一成,杉内,2013,80,0,0,0,諸派,新,財政再建党代表・エネルギー開発会社経営〈元〉金型製作会社顧問▽東北大,福島,選挙区,7425,0.87,238.9,0.0,1,0.0,0.0
良祐,上月,2013,50,1,0,公明,自民,新,〈元〉副知事・県総務部長・内閣官房副長官秘書官▽東大,茨城,選挙区,560642,48.43,99.3,42.5,2,5.3,75.38461538461539
幸久,藤田,2013,63,1,1,0,民主,現,参院財政金融委員長〈元〉財務副大臣・衆院議員・国際ＮＧＯ理事▽慶大,茨城,選挙区,204021,17.62,99.3,8.0,2,0.0,13.846153846153847
順子,石原,2013,52,0,0,0,みんな,新,ワイン醸造家・ワイン輸入卸販売会社長〈元〉損害保険会社員▽放送大,茨城,選挙区,153403,13.25,99.3,3.1,2,0.0,4.615384615384616
章,石井,2013,56,0,0,0,維新,新,パン製造会社役員〈元〉衆院議員・取手市議・藤代町議▽専修大,茨城,選挙区,127823,11.04,99.3,2.7,2,0.0,0.0
恭子,小林,2013,62,0,0,0,共産,新,党県くらし雇用対策部長〈元〉県南農民組合事務局長▽鹿児島女短大,茨城,選挙区,97197,8.4,99.3,3.7,2,0.0,1.5384615384615385
幸樹,中村,2013,49,0,0,0,諸派,新,幸福実現党県副代表〈元〉自衛官▽防衛大,茨城,選挙区,14586,1.26,99.3,0.0,2,0.0,0.0
克法,高橋,2013,55,1,0,公明,自民,新,〈元〉高根沢町長・県町村会長・県議・参院議員秘書▽明大,栃木,選挙区,376553,48.11,98.8,42.5,1,5.3,88.0
