姓,せい,名,めい,性別,年齢,政党,推薦・支持,新旧,当選回数,略歴,選挙区,定員,政党_世論,地方議席数_割合
森山,もりやま,佳則,よしのり,1,52,諸派,0,新,0,幸福実現党員〈元〉新日鉄社員▽中大,北海道,3,0,0
岩瀬,いわせ,清次,せいじ,1,66,諸派,0,新,0,労働者党代表委員〈元〉光学機器会社員▽都立上野高,北海道,3,0,0
中村,なかむら,治,おさむ,1,66,諸派,0,新,0,安楽死党道代表〈元〉登記情報会社員・信販会社員▽札幌啓成高,北海道,3,0,0
山本,やまもと,貴平,たかひら,1,44,諸派,0,新,0,Ｎ国党員〈元〉物流会社員▽都立江北高,北海道,3,0,0
高橋,たかはし,はるみ,はるみ,0,65,自民,公明,新,0,北海商大院客員教授〈元〉知事・経産省北海道経済産業局長▽一橋大,北海道,3,33.4,50.4950495049505
岩本,いわもと,剛人,つよひと,1,54,自民,公明,新,0,〈元〉党道副会長・道議・党道幹事長・港湾開発会社員▽淑徳大,北海道,3,33.4,50.4950495049505
畠山,はたやま,和也,かずや,1,47,共産,0,新,0,党中央委員・党道副委員長〈元〉衆院議員・中学校教諭▽北海道教大院,北海道,3,2.9,2.97029702970297
勝部,かつべ,賢志,けんじ,1,59,立憲,0,新,0,〈元〉道副議長・北教組石狩支部書記長・小学校教諭▽北海道教大,北海道,3,6,23.7623762376238
原谷,はらや,那美,なみ,0,35,国民,0,新,0,獣医師・党道常任幹事〈元〉道議会臨時職員▽酪農学園大,北海道,3,1.6,0
小山,こやま,日奈子,ひなこ,0,53,諸派,0,新,0,Ｎ国党員〈元〉国民新党世田谷区支部長・衆院議員秘書▽戸板女短大,青森,1,0,0
滝沢,たきさわ,求,もとめ,1,60,自民,公明,現,1,参院環境委理事〈元〉外務政務官・県議・衆院議員秘書▽中大,青森,1,33.4,58.3333333333333
小田切,おだぎり,達,さとる,1,61,立憲,社民,新,0,弁護士〈元〉県入札監視委員長・県弁護士会長▽北大,青森,1,6,2.08333333333333
横沢,よこさわ,高徳,たかのり,1,47,無所属,立憲 / 国民 / 共産 / 社民,新,0,〈元〉チェアスキー選手・美容器会社契約社員・モトクロス選手▽盛岡工高,岩手,1,0,6.25
平野,ひらの,達男,たつお,1,65,自民,公明,現,3,〈元〉復興相・民主党政調副会長・農水省職員・県農地計画課長▽東大,岩手,1,33.4,25
梶谷,かじたに,秀一,しゅういち,1,53,諸派,0,新,0,Ｎ国党員・福祉事業会社長・障害児福祉サービス事業会社長▽関西大,岩手,1,0,0
三宅,みやけ,紀昭,のりあき,1,57,諸派,0,新,0,Ｎ国党員〈元〉通信機器製造会社員▽日大,宮城,1,0,0
愛知,あいち,治郎,じろう,1,50,自民,公明,現,3,〈元〉党県会長・財務副大臣・復興副大臣・防衛政務官▽中大,宮城,1,33.4,52.5423728813559
石垣,いしがき,のりこ,のりこ,0,44,立憲,国民 / 社民,新,0,エフエム仙台アナウンサー・党県復興推進委員長▽宮城教大,宮城,1,6,3.38983050847458
中泉,なかいずみ,松司,まつじ,1,40,自民,公明,現,1,党政調副会長〈元〉県議・ビル清掃会社員・参院議員秘書▽中大,秋田,1,33.4,55.8139534883721
寺田,てらた,静,しずか,0,44,無所属,0,新,0,〈元〉参院議員秘書・衆院議員秘書・東大生産技術研究所秘書▽早大,秋田,1,0,32.5581395348837
石岡,いしおか,隆治,りゅうじ,1,45,諸派,0,新,0,Ｎ国党員〈元〉海上自衛官,秋田,1,0,0
大沼,おおぬま,瑞穂,みずほ,0,40,自民,公明,現,1,〈元〉厚労政務官・党女性局長代理・東京財団研究員・ＮＨＫ記者▽慶大院,山形,1,33.4,61.3636363636364
芳賀,はが,道也,みちや,1,61,無所属,立憲 / 国民 / 共産 / 社民,新,0,フリーアナウンサー〈元〉ＹＢＣ山形放送アナウンス部統括部長▽日大,山形,1,0,20.4545454545455
