選挙区,定数,民主,自民,公明,みんな,共産,社民,維新,無所,大地,諸派,生活,みどり
北海道,104,34,44,8,0,1,0,0,17,0,0,0,0
青森,48,6,25,2,0,2,0,0,13,0,0,0,0
岩手,48,23,12,1,0,2,3,0,3,0,0,0,0
宮城,59,7,28,4,2,4,3,0,11,0,0,0,0
秋田,45,3,25,1,0,1,2,0,13,0,0,0,0
山形,44,3,31,1,0,1,2,0,6,0,0,0,0
福島,58,15,28,3,1,5,1,0,5,0,0,0,0
茨城,65,6,32,4,2,1,0,0,19,0,0,0,0
栃木,50,5,22,3,13,0,0,0,7,0,0,0,0
群馬,50,4,30,3,1,2,0,0,10,0,0,0,0
埼玉,94,11,47,9,1,2,1,0,22,0,0,0,0
千葉,95,18,56,7,4,4,0,0,1,0,0,0,0
東京,127,52,38,23,0,8,0,0,2,0,0,0,0
神奈川,107,29,40,10,15,0,0,0,12,0,0,0,0
新潟,53,7,29,1,0,1,2,0,10,0,0,0,0
富山,40,4,28,1,0,1,3,0,3,0,0,0,0
石川,43,8,25,2,0,1,0,0,6,0,0,0,0
福井,37,5,23,1,0,1,0,0,5,0,0,0,0
山梨,38,1,14,1,0,1,0,0,21,0,0,0,0
長野,58,5,16,3,0,6,2,0,23,0,0,0,0
岐阜,46,8,30,2,0,1,0,0,5,0,0,0,0
静岡,69,17,35,5,1,0,0,0,10,0,0,0,0
愛知,103,26,49,6,0,0,0,0,4,0,0,0,0
三重,51,11,19,2,1,0,0,0,15,0,0,0,0
滋賀,47,12,20,2,1,0,0,0,8,0,0,0,0
京都,60,15,25,5,0,11,0,0,4,0,0,0,0
大阪,109,10,13,21,1,4,0,56,3,0,0,0,0
兵庫,89,17,26,12,1,5,0,0,27,0,0,0,0
奈良,44,8,20,3,1,5,1,0,5,0,0,0,0
和歌山,42,1,26,3,0,4,0,0,8,0,0,0,0
鳥取,35,6,16,3,0,2,0,0,8,0,0,0,0
島根,37,5,18,1,0,2,0,0,11,0,0,0,0
岡山,56,5,34,5,0,2,0,0,10,0,0,0,0
広島,66,7,32,6,0,1,0,0,20,0,0,0,0
山口,49,5,27,5,0,2,1,0,9,0,0,0,0
徳島,41,4,21,2,1,3,0,0,9,0,0,0,0
香川,41,2,27,2,0,2,4,0,3,0,0,0,0
愛媛,47,2,30,3,0,1,2,0,9,0,0,0,0
高知,39,1,12,3,0,5,0,0,18,0,0,0,0
福岡,86,20,41,11,0,0,0,0,11,0,0,0,0
佐賀,38,4,27,1,0,1,1,0,4,0,0,0,0
長崎,46,11,20,3,0,1,1,0,10,0,0,0,0
熊本,49,1,28,3,0,1,0,0,15,0,0,0,0
大分,44,3,16,3,0,1,3,0,17,0,0,0,0
宮崎,39,3,18,3,0,1,3,0,11,0,0,0,0
鹿児島,51,1,32,3,0,1,1,0,13,0,0,0,0
沖縄,48,4,16,3,0,5,5,0,9,0,0,0,0
