選挙区,定数,民進,自民,公明,共産,社民,お維新,無所属,こころ,諸派,改革
北海道,101,24,49,8,4,0,0,16,0,0,0
青森,48,6,29,2,3,0,0,8,0,0,0
岩手,48,5,13,1,3,2,0,14,0,0,0
宮城,59,5,27,4,8,1,1,13,0,0,0
秋田,43,2,27,1,1,2,0,10,0,0,0
山形,44,3,30,1,2,2,0,6,0,0,0
福島,58,15,26,3,5,1,0,8,0,0,0
茨城,63,4,40,4,3,0,0,12,0,0,0
栃木,50,6,28,3,1,0,0,12,0,0,0
群馬,50,6,31,3,2,0,0,8,0,0,0
埼玉,93,11,45,9,5,0,0,22,0,0,0
千葉,95,17,51,8,5,1,2,9,0,0,0
東京,127,15,56,23,17,0,0,1,0,0,0
神奈川,105,25,45,10,6,0,5,11,0,0,0
新潟,53,6,32,2,1,2,0,9,0,0,0
富山,40,2,30,1,1,3,0,3,0,0,0
石川,43,1,26,2,1,1,0,11,0,0,0
福井,37,4,21,1,1,0,0,9,0,0,0
山梨,38,1,16,1,1,0,0,19,0,0,0
長野,58,2,16,3,8,1,1,27,0,0,0
岐阜,46,5,29,2,1,0,0,9,0,0,0
静岡,69,13,37,5,1,0,0,13,0,0,0
愛知,102,32,54,6,2,0,2,6,0,0,0
三重,51,9,21,2,2,0,0,12,0,0,0
滋賀,44,9,18,2,3,0,0,8,0,0,0
京都,60,9,27,5,14,0,2,3,0,0,0
大阪,88,1,20,15,3,0,42,6,0,0,0
兵庫,87,5,25,12,5,0,9,28,0,0,0
奈良,44,4,18,3,5,1,5,8,0,0,0
和歌山,42,1,28,3,3,0,1,6,0,0,0
鳥取,35,6,12,3,2,0,0,12,0,0,0
島根,37,3,17,2,2,0,0,13,0,0,0
岡山,55,5,34,5,3,0,0,7,0,0,0
広島,64,5,30,6,1,0,0,22,0,0,0
山口,47,2,29,5,2,1,0,7,0,0,0
徳島,39,4,29,2,3,0,0,1,0,0,0
香川,41,3,26,2,2,3,0,5,0,0,0
愛媛,47,2,24,3,1,2,0,13,0,0,0
高知,37,1,17,3,4,0,0,12,0,0,0
福岡,86,17,42,11,2,0,0,12,0,0,0
佐賀,38,2,25,2,2,1,0,5,0,0,0
長崎,46,5,26,3,1,2,0,9,0,0,0
熊本,48,2,25,3,1,0,0,16,0,0,0
大分,43,2,17,3,1,3,1,16,0,0,0
宮崎,39,3,22,3,2,4,0,5,0,0,0
鹿児島,51,0,36,3,1,0,0,11,0,0,0
沖縄,48,1,12,3,4,6,0,11,0,0,0
