選挙区,定数,自民,共産,立憲,国民,無所属,維新,公明,社民,諸派,れい
北海道,101,51,3,24,0,14,0,8,0,0,0
青森,48,28,3,1,3,11,0,2,0,0,0
岩手,48,12,3,0,0,3,0,1,2,0,0
宮城,59,31,8,2,0,3,0,4,2,0,0
秋田,43,24,1,1,0,14,0,1,2,0,0
山形,44,27,2,2,1,9,0,1,1,0,0
福島,58,29,5,0,0,0,0,3,0,0,0
茨城,63,45,2,1,0,5,0,4,0,0,0
栃木,50,31,1,3,1,11,0,3,0,0,0
群馬,50,25,2,2,0,18,0,3,0,0,0
埼玉,93,48,6,7,4,18,0,9,0,1,0
千葉,95,45,2,10,6,21,0,8,1,0,0
東京,127,23,18,5,0,0,0,23,0,0,0
神奈川,105,47,5,23,5,16,0,8,0,0,0
新潟,53,28,1,1,2,16,0,2,1,0,0
富山,40,32,2,0,0,2,0,1,3,0,0
石川,43,28,1,0,2,0,0,2,1,0,0
福井,37,25,1,1,0,9,0,1,0,0,0
山梨,38,17,1,1,1,16,0,1,0,0,0
長野,58,21,5,1,0,26,0,4,0,0,0
岐阜,46,29,1,1,3,10,0,2,0,0,0
静岡,69,35,1,0,3,23,0,5,0,0,0
愛知,102,57,0,7,8,23,0,6,0,0,0
三重,51,21,1,0,0,17,0,2,0,1,0
滋賀,44,16,4,3,0,10,0,2,0,0,0
京都,60,28,12,2,5,6,0,5,0,0,0
大阪,88,15,2,1,0,4,51,15,0,0,0
兵庫,87,27,5,5,1,27,9,12,0,0,0
奈良,44,21,4,0,4,6,4,3,0,1,0
和歌山,42,25,4,1,1,7,1,3,0,0,0
鳥取,35,14,1,3,3,0,0,3,0,11,0
島根,37,19,2,1,1,12,0,2,0,0,0
岡山,55,32,2,2,1,13,0,5,0,0,0
広島,64,32,1,0,1,24,0,6,0,0,0
山口,47,29,2,0,1,9,0,5,0,1,0
徳島,39,22,2,0,2,10,0,2,0,0,0
香川,41,27,2,1,2,4,0,2,3,0,0
愛媛,47,15,1,2,0,26,0,2,0,0,0
高知,37,19,5,1,0,9,0,3,0,0,0
福岡,86,40,2,5,12,17,0,10,0,0,0
佐賀,38,25,2,0,3,5,0,2,1,0,0
長崎,46,28,1,1,5,6,0,3,2,0,0
熊本,48,31,1,1,0,13,0,3,0,0,0
大分,43,16,2,1,1,19,0,3,1,0,0
宮崎,39,24,2,1,1,4,0,3,4,0,0
鹿児島,51,34,1,1,0,11,0,3,1,0,0
沖縄,48,14,6,0,0,1,2,4,12,0,0
